file,eplib,shape,nnodes,ranks,pol,cap,tok,pair_avg_us,pair_p50_us,rep2_avg_us,disp_us,comb_us,disp_kib
a2a-deepep_v2-dsv3-n2-gda-cap1024-sm0.json,deepep_v2,dsv3,2,16,sglang,1024,32,227.84,226.53,227.87,121.82,106.02,1852.0
a2a-deepep_v2-dsv3-n2-gda-cap1024-sm0.json,deepep_v2,dsv3,2,16,sglang,1024,128,379.47,379.14,422.08,140.06,239.41,7408.0
a2a-deepep_v2-dsv3-n2-gda-capnative-sm0.json,deepep_v2,dsv3,2,16,bench-native,4,4,192.9,191.74,192.19,117.91,74.99,231.5
a2a-deepep_v2-dsv3-n2-gda-capnative-sm0.json,deepep_v2,dsv3,2,16,bench-native,8,8,236.88,233.31,233.79,179.14,57.74,463.0
a2a-deepep_v2-dsv3-n2-gda-capnative-sm0.json,deepep_v2,dsv3,2,16,bench-native,16,16,200.6,199.23,199.31,119.44,81.16,926.0
a2a-deepep_v2-dsv3-n2-gda-capnative-sm0.json,deepep_v2,dsv3,2,16,bench-native,32,32,224.76,223.84,224.9,121.46,103.3,1852.0
a2a-deepep_v2-dsv3-n2-gda-capnative-sm0.json,deepep_v2,dsv3,2,16,bench-native,128,128,370.6,370.18,372.19,145.19,225.41,7408.0
a2a-deepep_v2-dsv4-n1-gda-cap1024-sm0.json,deepep_v2,dsv4,1,8,sglang,1024,4,97.24,94.27,98.14,66.02,31.21,99.4
a2a-deepep_v2-dsv4-n1-gda-cap1024-sm0.json,deepep_v2,dsv4,1,8,sglang,1024,8,97.11,94.11,96.34,65.45,31.66,198.8
a2a-deepep_v2-dsv4-n1-gda-cap1024-sm0.json,deepep_v2,dsv4,1,8,sglang,1024,16,95.97,93.38,94.74,66.37,29.6,397.5
a2a-deepep_v2-dsv4-n1-gda-cap1024-sm0.json,deepep_v2,dsv4,1,8,sglang,1024,32,98.22,95.58,98.16,66.46,31.76,795.0
a2a-deepep_v2-dsv4-n1-gda-cap1024-sm0.json,deepep_v2,dsv4,1,8,sglang,1024,128,105.44,102.18,103.81,70.64,34.8,3180.0
a2a-deepep_v2-dsv4-n1-gda-capnative-sm0.json,deepep_v2,dsv4,1,8,bench-native,4,4,176.64,170.66,,122.64,53.99,99.4
a2a-deepep_v2-dsv4-n1-gda-capnative-sm0.json,deepep_v2,dsv4,1,8,bench-native,8,8,93.7,90.98,,65.94,27.76,198.8
a2a-deepep_v2-dsv4-n1-gda-capnative-sm0.json,deepep_v2,dsv4,1,8,bench-native,16,16,93.59,90.18,,64.28,29.31,397.5
a2a-deepep_v2-dsv4-n1-gda-capnative-sm0.json,deepep_v2,dsv4,1,8,bench-native,32,32,96.51,93.5,,64.22,32.29,795.0
a2a-deepep_v2-dsv4-n1-gda-capnative-sm0.json,deepep_v2,dsv4,1,8,bench-native,128,128,168.22,165.44,,118.61,49.61,3180.0
a2a-deepep_v2-dsv4-n2-gda-cap1024-sm0.json,deepep_v2,dsv4,2,16,sglang,1024,4,238.26,232.42,180.54,117.5,120.75,99.4
a2a-deepep_v2-dsv4-n2-gda-cap1024-sm0.json,deepep_v2,dsv4,2,16,sglang,1024,8,182.48,181.76,182.52,116.99,65.49,198.8
a2a-deepep_v2-dsv4-n2-gda-cap1024-sm0.json,deepep_v2,dsv4,2,16,sglang,1024,16,183.99,182.56,183.91,115.83,68.15,397.5
a2a-deepep_v2-dsv4-n2-gda-cap1024-sm0.json,deepep_v2,dsv4,2,16,sglang,1024,32,212.13,203.39,204.39,119.85,92.29,795.0
a2a-deepep_v2-dsv4-n2-gda-cap1024-sm0.json,deepep_v2,dsv4,2,16,sglang,1024,128,282.47,281.98,282.99,129.33,153.14,3180.0
a2a-deepep_v2-dsv4-n2-gda-capnative-sm0.json,deepep_v2,dsv4,2,16,bench-native,4,4,181.1,180.48,181.67,118.76,62.34,99.4
a2a-deepep_v2-dsv4-n2-gda-capnative-sm0.json,deepep_v2,dsv4,2,16,bench-native,8,8,184.82,182.98,183.98,120.45,64.37,198.8
a2a-deepep_v2-dsv4-n2-gda-capnative-sm0.json,deepep_v2,dsv4,2,16,bench-native,16,16,233.6,228.9,230.75,168.19,65.41,397.5
a2a-deepep_v2-dsv4-n2-gda-capnative-sm0.json,deepep_v2,dsv4,2,16,bench-native,32,32,203.49,201.6,202.71,119.59,83.9,795.0
a2a-deepep_v2-dsv4-n2-gda-capnative-sm0.json,deepep_v2,dsv4,2,16,bench-native,128,128,281.62,280.77,281.78,134.37,147.26,3180.0
a2a-uccl-dsv3-n1-nogin-capnative-sm0.json,uccl,dsv3,1,8,bench-native,4,4,82.07,82.24,84.42,47.08,34.99,231.5
a2a-uccl-dsv3-n1-nogin-capnative-sm0.json,uccl,dsv3,1,8,bench-native,8,8,71.28,70.37,70.79,48.29,22.98,463.0
a2a-uccl-dsv3-n1-nogin-capnative-sm0.json,uccl,dsv3,1,8,bench-native,16,16,70.82,69.76,72.03,48.37,22.45,926.0
a2a-uccl-dsv3-n1-nogin-capnative-sm0.json,uccl,dsv3,1,8,bench-native,32,32,74.85,74.05,75.05,47.91,26.94,1852.0
a2a-uccl-dsv3-n1-nogin-capnative-sm0.json,uccl,dsv3,1,8,bench-native,128,128,141.53,138.56,140.61,106.62,34.91,7408.0
a2a-uccl-dsv3-n2-nogin-cap1024-sm0.json,uccl,dsv3,2,16,sglang,1024,4,172.87,167.1,164.61,75.64,97.23,231.5
a2a-uccl-dsv3-n2-nogin-cap1024-sm0.json,uccl,dsv3,2,16,sglang,1024,8,165.74,165.28,165.61,76.47,89.27,463.0
a2a-uccl-dsv3-n2-nogin-cap1024-sm0.json,uccl,dsv3,2,16,sglang,1024,16,173.99,173.57,175.14,76.19,97.8,926.0
a2a-uccl-dsv3-n2-nogin-cap1024-sm0.json,uccl,dsv3,2,16,sglang,1024,32,201.42,201.12,201.85,80.04,121.38,1852.0
a2a-uccl-dsv3-n2-nogin-cap1024-sm0.json,uccl,dsv3,2,16,sglang,1024,128,520.64,518.82,520.94,220.51,300.13,7408.0
a2a-uccl-dsv3-n2-nogin-capnative-sm0.json,uccl,dsv3,2,16,bench-native,4,4,164.74,163.58,167.52,77.45,87.29,231.5
a2a-uccl-dsv4-n1-nogin-capnative-sm0.json,uccl,dsv4,1,8,bench-native,4,4,79.09,78.69,79.49,46.67,32.42,99.4
a2a-uccl-dsv4-n1-nogin-capnative-sm0.json,uccl,dsv4,1,8,bench-native,8,8,70.02,68.99,68.52,47.98,22.04,198.8
a2a-uccl-dsv4-n1-nogin-capnative-sm0.json,uccl,dsv4,1,8,bench-native,16,16,66.04,64.38,67.37,47.67,18.37,397.5
a2a-uccl-dsv4-n1-nogin-capnative-sm0.json,uccl,dsv4,1,8,bench-native,32,32,66.66,64.67,65.42,47.1,19.56,795.0
a2a-uccl-dsv4-n1-nogin-capnative-sm0.json,uccl,dsv4,1,8,bench-native,128,128,87.57,87.9,87.55,48.79,38.79,3180.0
a2a-uccl-dsv4-n2-nogin-cap1024-sm0.json,uccl,dsv4,2,16,sglang,1024,4,164.66,163.68,165.18,77.13,87.53,99.4
a2a-uccl-dsv4-n2-nogin-cap1024-sm0.json,uccl,dsv4,2,16,sglang,1024,8,165.02,161.63,163.14,77.71,87.32,198.8
a2a-uccl-dsv4-n2-nogin-cap1024-sm0.json,uccl,dsv4,2,16,sglang,1024,16,161.19,160.61,159.7,78.29,82.9,397.5
a2a-uccl-dsv4-n2-nogin-cap1024-sm0.json,uccl,dsv4,2,16,sglang,1024,32,169.55,168.38,168.56,79.1,90.46,795.0
a2a-uccl-dsv4-n2-nogin-cap1024-sm0.json,uccl,dsv4,2,16,sglang,1024,128,358.96,359.42,357.78,175.5,183.46,3180.0
a2a-uccl-dsv4-n2-nogin-capnative-sm0.json,uccl,dsv4,2,16,bench-native,4,4,162.26,162.05,163.35,74.83,87.43,99.4
